COMPONENT PM10 (aerosol), day
STATION PIREAUS-1
20140814 00:00,30,1
20140815 00:00,38,1
20140816 00:00,27,1
20140817 00:00,30,1
20140818 00:00,21,1
20140819 00:00,21,1
20140820 00:00,25,1
20140821 00:00,33,1
20140822 00:00,46,1
20140823 00:00,42,1
20140824 00:00,37,1
20140825 00:00,32,1
20140826 00:00,30,1
20140827 00:00,34,1
20140828 00:00,40,1
20140829 00:00,33,1
20140830 00:00,19,1
20140831 00:00,20,1
20140901 00:00,26,1
20140902 00:00,30,1
20140903 00:00,24,1
20140904 00:00,20,1
20140905 00:00,24,1
20140906 00:00,21,1
20140907 00:00,24,1
20140908 00:00,24,1
20140909 00:00,42,1
20140910 00:00,45,1
20140911 00:00,41,1
20140912 00:00,36,1
20140913 00:00,34,1
20140914 00:00,29,1
20140915 00:00,36,1
20140916 00:00,37,1
20140917 00:00,27,1
20140918 00:00,31,1
20140919 00:00,36,1
20140920 00:00,36,1
20140921 00:00,37,1
20140922 00:00,72,1
20140923 00:00,91,1
20140924 00:00,29,1
20140925 00:00,34,1
20140926 00:00,32,1
20140927 00:00,16,1
20140928 00:00,21,1
20140929 00:00,26,1
20140930 00:00,27,1
20141001 00:00,36,1
20141002 00:00,31,1
20141003 00:00,38,1
20141004 00:00,32,1
20141005 00:00,35,1
20141006 00:00,32,1
20141007 00:00,41,1
20141008 00:00,39,1
20141009 00:00,34,1
20141010 00:00,33,1
20141011 00:00,30,1
20141012 00:00,30,1
20141013 00:00,42,1
20141014 00:00,44,1
20141015 00:00,55,1
20141016 00:00,73,1
20141017 00:00,81,1
20141018 00:00,48,1
20141019 00:00,27,1
20141020 00:00,31,1
20141021 00:00,34,1
20141022 00:00,35,1
20141023 00:00,34,1
20141024 00:00,28,1
20141025 00:00,31,1
20141026 00:00,14,1
20141027 00:00,-9999,0
20141028 00:00,-9999,0
20141029 00:00,-9999,0
20141030 00:00,-9999,0
20141031 00:00,-9999,0
20141101 00:00,-9999,0
20141102 00:00,-9999,0
20141103 00:00,-9999,0
20141104 00:00,-9999,0
20141105 00:00,-9999,0
20141106 00:00,-9999,0
20141107 00:00,-9999,0
20141108 00:00,-9999,0
20141109 00:00,-9999,0
20141110 00:00,-9999,0
20141111 00:00,-9999,0
20141112 00:00,-9999,0
20141113 00:00,-9999,0
20141114 00:00,-9999,0
20141115 00:00,-9999,0
20141116 00:00,-9999,0
20141117 00:00,-9999,0
20141118 00:00,-9999,0
20141119 00:00,-9999,0
20141120 00:00,-9999,0
20141121 00:00,-9999,0
20141122 00:00,-9999,0
20141123 00:00,-9999,0
20141124 00:00,-9999,0
20141125 00:00,-9999,0
20141126 00:00,-9999,0
20141127 00:00,-9999,0
20141128 00:00,-9999,0
20141129 00:00,-9999,0
20141130 00:00,-9999,0
20141201 00:00,-9999,0
20141202 00:00,-9999,0
20141203 00:00,73,1
20141204 00:00,37,1
20141205 00:00,51,1
20141206 00:00,45,1
20141207 00:00,48,1
20141208 00:00,-9999,0
20141209 00:00,32,1
20141210 00:00,46,1
20141211 00:00,22,1
20141212 00:00,-9999,0
20141213 00:00,41,1
20141214 00:00,51,1
20141215 00:00,59,1
20141216 00:00,50,1
20141217 00:00,24,1
20141218 00:00,45,1
20141219 00:00,-9999,0
20141220 00:00,88,1
20141221 00:00,53,1
20141222 00:00,43,1
20141223 00:00,96,1
20141224 00:00,123,1
20141225 00:00,83,1
20141226 00:00,49,1
20141227 00:00,32,1
20141228 00:00,27,1
20141229 00:00,28,1
20141230 00:00,13,1
20141231 00:00,12,1
